t,e,n,u
0.0,-0.006021896377205849,-0.028453025966882706,-0.043680667877197266
0.008510996,-0.006276336498558521,-0.02850661799311638,-0.043761566281318665
0.019510431,-0.006400238256901503,-0.028530707582831383,-0.043806105852127075
0.337573137,-0.006522312760353088,-0.02855316363275051,-0.04385344684123993
0.350804779,-0.00666692852973938,-0.028596973046660423,-0.04387073218822479
0.359414919,-0.006948326714336872,-0.028679249808192253,-0.04392951726913452
0.6781066570000001,-0.007085568271577358,-0.02871755324304104,-0.043963611125946045
0.6854317940000001,-0.007236778270453215,-0.028773343190550804,-0.04396753013134003
0.700727683,-0.00738581782206893,-0.02882666140794754,-0.04397514462471008
0.7073421000000001,-0.007677318062633276,-0.028926299884915352,-0.04400074481964111
1.0106650860000002,-0.00782802328467369,-0.028976626694202423,-0.04398360848426819
1.022059493,-0.007976453751325607,-0.029024962335824966,-0.0439748615026474
1.0319702910000002,-0.008122827857732773,-0.02907138504087925,-0.043970584869384766
1.3373792070000001,-0.008423149585723877,-0.02915780618786812,-0.04393091797828674
1.3500662300000001,-0.008577424101531506,-0.029197966679930687,-0.04389543831348419
1.357924066,-0.008729605935513973,-0.029236413538455963,-0.04386395215988159
1.683430125,-0.008879563771188259,-0.029273657128214836,-0.04383663833141327
1.694867096,-0.00919573288410902,-0.029393257573246956,-0.043679311871528625
1.7034074760000002,-0.00935052614659071,-0.029450135305523872,-0.043608397245407104
1.7122134080000002,-0.009503009729087353,-0.029505137354135513,-0.043542519211769104
2.028914782,-0.009651970118284225,-0.0295710526406765,-0.043448612093925476
2.037432575,-0.00994325801730156,-0.02969706989824772,-0.04327678680419922
2.0508753570000002,-0.010085541754961014,-0.029757549986243248,-0.043198779225349426
2.372840404,-0.01023199874907732,-0.029824616387486458,-0.04309090971946716
2.384650663,-0.010517812334001064,-0.029953107237815857,-0.04289250075817108
2.3945405600000003,-0.010657197795808315,-0.03001485764980316,-0.042801618576049805
2.68762955,-0.010794350877404213,-0.030074944719672203,-0.04271584749221802
2.6956941170000004,-0.0109472144395113,-0.030152903869748116,-0.04258805513381958
2.706527368,-0.011097811162471771,-0.030228974297642708,-0.042466312646865845
2.990465115,-0.011392970569431782,-0.030375391244888306,-0.0422002375125885
3.0028694710000003,-0.011565282940864563,-0.03045932576060295,-0.04203556478023529
3.0118477830000003,-0.011734998784959316,-0.030541470274329185,-0.04187785089015961
3.0236682210000003,-0.01206702459603548,-0.030701227486133575,-0.041582152247428894
3.327635427,-0.012230835855007172,-0.030794965103268623,-0.04139593243598938
3.337178961,-0.012392090633511543,-0.030887357890605927,-0.041217029094696045
3.34446112,-0.012550834566354752,-0.030977753922343254,-0.04105578362941742
3.6857921040000003,-0.012861320748925209,-0.03118756413459778,-0.04071229696273804
3.6935084330000003,-0.013013041578233242,-0.03130670636892319,-0.04053078591823578
3.7046150840000003,-0.013162707909941673,-0.03142409026622772,-0.040356457233428955
4.067286375,-0.013310261070728302,-0.031539905816316605,-0.040188953280448914
4.079036822,-0.01358882151544094,-0.031796377152204514,-0.039793431758880615
4.08652647,-0.013725318014621735,-0.03192194178700447,-0.039607077836990356
4.392450360000001,-0.013859836384654045,-0.03204556182026863,-0.039427950978279114
4.399892097,-0.013997429981827736,-0.032151106745004654,-0.03920327126979828
4.413335163,-0.014133245684206486,-0.03225501626729965,-0.03898623585700989
4.419967131,-0.014267112128436565,-0.03235790878534317,-0.03877702355384827
4.723633475000001,-0.014529182575643063,-0.03254053741693497,-0.03834827244281769
4.734155386,-0.014657600782811642,-0.03262043744325638,-0.0381113737821579
4.743515143000001,-0.014784072525799274,-0.0326993465423584,-0.03788268566131592
5.06089984,-0.01504272036254406,-0.03283301368355751,-0.037408143281936646
